max_prob,dil_thr_km,min_rng_km,rel_velo_kms,sat1_days_epoch,sat2_days_epoch,sat1_name,sat2_name,ID,tca_time,start_time,stop_time,extract_date,sat1_norad,sat2_norad,tca_rounded
1.152e-05,0.165,0.5489999999999999,9.945,5.066,5.649,STARLINK-1541,STARLINK-2189,46052-47768,2022-05-23 12:34:04.054,2022 May 23 12:34:03.554,2022 May 23 12:34:04.553,2022-05-19 11:42:51,46052,47768,2022-05-23 12:35:00
7.073e-05,0.062,0.237,6.9639999999999995,6.921,7.443,STARLINK-1736,STARLINK-2189,46585-47768,2022-05-22 07:58:48.176,2022 May 22 07:58:47.458,2022 May 22 07:58:48.893,2022-05-16 12:12:38,46585,47768,2022-05-22 08:00:00
1.641e-05,0.139,0.456,10.222999999999999,5.681,5.565,STARLINK-2189,STARLINK-2711,47768-48673,2022-05-21 13:34:29.376,2022 May 21 13:34:28.889,2022 May 21 13:34:29.863,2022-05-17 00:28:33,47768,48673,2022-05-21 13:35:00
3.205e-05,0.099,0.32899999999999996,9.943999999999999,2.929,3.673,STARLINK-2413,STARLINK-2187,47827-48562,2022-05-14 08:45:03.069,2022 May 14 08:45:02.568,2022 May 14 08:45:03.571,2022-05-12 12:09:01,47827,48562,2022-05-14 08:45:00
2.856e-05,0.105,0.345,10.238999999999999,7.3229999999999995,7.439,STARLINK-1274,STARLINK-2304,45387-47864,2022-05-24 20:42:53.714,2022 May 24 20:42:53.227,2022 May 24 20:42:54.201,2022-05-18 20:47:37,45387,47864,2022-05-24 20:45:00
4.079e-05,0.087,0.292,9.945,6.776,6.725,STARLINK-2361,STARLINK-2459,47901-48119,2022-05-24 11:58:11.208,2022 May 24 11:58:10.706,2022 May 24 11:58:11.710,2022-05-18 20:47:37,47901,48119,2022-05-24 12:00:00
1.819e-05,0.142,0.40299999999999997,11.953,6.041,6.465,STARLINK-2097,STARLINK-2361,47377-47901,2022-05-24 10:52:29.795,2022 May 24 10:52:29.378,2022 May 24 10:52:30.212,2022-05-19 11:42:51,47377,47901,2022-05-24 10:50:00
2.646e-05,0.11,0.359,10.238,6.377999999999999,6.261,STARLINK-2371,STARLINK-2471,47911-48129,2022-05-28 19:31:59.505,2022 May 28 19:31:59.018,2022 May 28 19:31:59.993,2022-05-31 01:26:20,47911,48129,2022-05-28 19:30:00
2.18e-05,0.10800000000000001,0.442,4.151,5.853,5.99,STARLINK-1834,STARLINK-2374,46781-47913,2022-05-15 07:37:31.573,2022 May 15 07:37:30.374,2022 May 15 07:37:32.773,2022-05-10 20:40:26,46781,47913,2022-05-15 07:40:00
2.3e-05,0.14800000000000002,0.307,0.001,0.698,0.233,STARLINK-1927,STARLINK-2374,47181-47913,2022-05-16 00:00:00.000,2022 May 16 00:00:00.000,2022 May 16 00:51:02.699,2022-05-16 20:30:08,47181,47913,2022-05-16 00:00:00
2.721e-05,0.115,0.33399999999999996,11.724,6.638999999999999,7.327000000000001,STARLINK-2378,STARLINK-2653,47916-48665,2022-05-25 00:37:14.921,2022 May 25 00:37:14.496,2022 May 25 00:37:15.347,2022-05-19 11:42:51,47916,48665,2022-05-25 00:35:00
1.639e-05,0.129,0.493,6.962000000000001,5.727,5.851,STARLINK-2378,STARLINK-2286,47916-48033,2022-05-23 10:47:50.215,2022 May 23 10:47:49.500,2022 May 23 10:47:50.930,2022-05-18 20:47:37,47916,48033,2022-05-23 10:50:00
0.00041349999999999997,0.025,0.102,4.143,5.289,4.8660000000000005,STARLINK-1162,STARLINK-2305,45058-47989,2022-05-27 10:47:29.679,2022 May 27 10:47:28.473,2022 May 27 10:47:30.886,2022-05-31 01:26:20,45058,47989,2022-05-27 10:45:00
1.142e-05,0.161,0.5670000000000001,8.934,5.218999999999999,5.182,STARLINK-1758,STARLINK-2279,46380-47991,2022-05-24 10:21:28.653,2022 May 24 10:21:28.097,2022 May 24 10:21:29.209,2022-05-20 12:36:39,46380,47991,2022-05-24 10:20:00
2.71e-05,0.1,0.38299999999999995,6.962999999999999,5.814,6.78,STARLINK-2279,STARLINK-2298,47991-48022,2022-05-24 01:32:41.154,2022 May 24 01:32:40.438,2022 May 24 01:32:41.870,2022-05-19 04:50:57,47991,48022,2022-05-24 01:35:00
1.084e-05,0.17,0.5660000000000001,9.93,3.841,4.237,STARLINK-2279,STARLINK-2467,47991-48126,2022-05-23 02:10:54.843,2022 May 23 02:10:54.342,2022 May 23 02:10:55.343,2022-05-20 12:36:39,47991,48126,2022-05-23 02:10:00
2.715e-05,0.09699999999999999,0.395,4.638,3.569,3.182,STARLINK-2330,STARLINK-2279,47874-47991,2022-05-22 10:22:33.958,2022 May 22 10:22:32.883,2022 May 22 10:22:35.033,2022-05-20 12:36:39,47874,47991,2022-05-22 10:25:00
4.812e-05,0.078,0.276,8.934,2.0340000000000003,2.193,STARLINK-1758,STARLINK-2279,46380-47991,2022-05-22 02:37:32.236,2022 May 22 02:37:31.677,2022 May 22 02:37:32.795,2022-05-21 00:39:50,46380,47991,2022-05-22 02:40:00
2.57e-05,0.098,0.413,2.1069999999999998,6.251,6.121,STARLINK-1636,STARLINK-2309,46153-47995,2022-05-24 06:31:33.139,2022 May 24 06:31:30.774,2022 May 24 06:31:35.504,2022-05-19 04:50:57,46153,47995,2022-05-24 06:30:00
3.5600000000000005e-05,0.084,0.34600000000000003,4.141,5.553999999999999,5.692,STARLINK-1615,STARLINK-2309,46166-47995,2022-05-22 17:08:19.153,2022 May 22 17:08:17.949,2022 May 22 17:08:20.358,2022-05-18 12:19:32,46166,47995,2022-05-22 17:10:00
2.332e-05,0.105,0.426,4.635,3.569,3.6710000000000003,STARLINK-2068,STARLINK-2270,47722-48000,2022-05-14 10:06:11.709,2022 May 14 10:06:10.634,2022 May 14 10:06:12.784,2022-05-11 19:55:33,47722,48000,2022-05-14 10:05:00
1.454e-05,0.136,0.527,6.511,3.761,3.677,STARLINK-1642,STARLINK-2270,46154-48000,2022-05-14 10:15:29.479,2022 May 14 10:15:28.715,2022 May 14 10:15:30.242,2022-05-12 03:55:54,46154,48000,2022-05-14 10:15:00
1.34e-05,0.14800000000000002,0.523,8.933,6.181,6.347,STARLINK-2270,STARLINK-2268,48000-48030,2022-05-14 02:21:13.491,2022 May 14 02:21:12.935,2022 May 14 02:21:14.048,2022-05-08 22:49:37,48000,48030,2022-05-14 02:20:00
1.307e-05,0.14,0.569,4.644,3.27,3.372,STARLINK-2068,STARLINK-2270,47722-48000,2022-05-14 02:56:15.167,2022 May 14 02:56:14.098,2022 May 14 02:56:16.237,2022-05-11 19:55:33,47722,48000,2022-05-14 02:55:00
0.00014509999999999998,0.044000000000000004,0.163,7.787999999999999,3.176,3.04,STARLINK-2270,STARLINK-2421,48000-48098,2022-05-12 18:13:48.619,2022 May 12 18:13:47.978,2022 May 12 18:13:49.261,2022-05-10 20:40:26,48000,48098,2022-05-12 18:15:00
